,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,228.0,0.0,0.0,0.004366812227074236,1.0,0.004366812227074236,1.0,0.008695652173913044,0.0,0.0029585798816568047
1,0.0,237.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
2,1.0,248.0,0.0,0.0,0.004016064257028112,1.0,0.004016064257028112,1.0,0.008,0.0,0.5045045045045045
3,2.0,234.0,0.0,0.0,0.00847457627118644,1.0,0.00847457627118644,1.0,0.01680672268907563,0.0,0.004926788897377132
4,2.0,225.0,0.0,0.0,0.00881057268722467,1.0,0.00881057268722467,1.0,0.017467248908296942,0.0,0.0062418306134231025
5,6.0,265.0,0.0,0.0,0.02214022140221402,1.0,0.02214022140221402,1.0,0.04332129963898917,0.0,0.2675406807973383
6,2.0,254.0,0.0,0.0,0.0078125,1.0,0.0078125,1.0,0.015503875968992248,0.0,0.255595044739535
7,1.0,255.0,0.0,0.0,0.00390625,1.0,0.00390625,1.0,0.007782101167315175,0.0,0.0021645021645021645
8,2.0,244.0,0.0,0.0,0.008130081300813009,1.0,0.008130081300813009,1.0,0.016129032258064516,0.0,0.5057471264367817
9,4.0,266.0,0.0,0.0,0.014814814814814815,1.0,0.014814814814814815,1.0,0.029197080291970802,0.0,0.14210223728236826
10,21.0,2456.0,0.0,0.0,0.008477997577714978,1.0,0.008477997577714978,1.0,0.016813450760608487,-1.0,0.2191781295317487
