,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,21.0,4.0,0.0,0.0,0.84,0.0,0.0,0.0,0.11659294811468723
1,0.0,4.0,20.0,4.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,-0.16666666666666666,0.13248949118514336
2,0.0,3.0,15.0,2.0,0.0,0.0,0.75,0.15,0.0,-0.140028008402801,0.0558296783625731
3,0.0,0.0,26.0,5.0,0.0,0.0,0.8387096774193549,0.0,0.0,0.0,0.10791698497580848
4,0.0,2.0,20.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.5
5,0.0,1.0,16.0,6.0,0.0,0.0,0.6956521739130435,0.043478260869565216,0.0,-0.12666009927622474,0.23510401635401634
6,0.0,1.0,19.0,5.0,0.0,0.0,0.76,0.04,0.0,-0.10206207261596575,0.14984520123839007
7,0.0,1.0,15.0,6.0,0.0,0.0,0.6818181818181818,0.045454545454545456,0.0,-0.1336306209562122,0.18176937441643326
8,0.0,1.0,19.0,8.0,0.0,0.0,0.6785714285714286,0.03571428571428571,0.0,-0.12171612389003691,0.35814440359477123
9,1.0,1.0,23.0,4.0,0.5,0.2,0.8275862068965517,0.06896551724137931,0.28571428571428575,0.2360293976249778,0.3219230769230769
10,1.0,14.0,194.0,44.0,0.06666666666666667,0.022222222222222223,0.7707509881422925,0.06173788430460094,0.03333333333333333,-0.07300295143120045,0.21596151751648995
