,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,9.0,193.0,22.0,2.0,0.04455445544554455,0.8181818181818182,0.13716814159292035,0.8938053097345132,0.08450704225352113,-0.055521471925551714,0.16853219679289952
1,9.0,155.0,51.0,7.0,0.054878048780487805,0.5625,0.2702702702702703,0.7387387387387387,0.1,-0.11180077417980784,0.046933295747743575
2,5.0,179.0,9.0,7.0,0.02717391304347826,0.4166666666666667,0.07,0.92,0.05102040816326531,-0.4687361879967366,0.0346912861182985
3,8.0,186.0,17.0,8.0,0.041237113402061855,0.5,0.1141552511415525,0.8858447488584474,0.0761904761904762,-0.3406417004223491,0.17021760377335737
4,5.0,184.0,22.0,0.0,0.026455026455026454,1.0,0.12796208530805686,0.8957345971563981,0.05154639175257732,0.05315349553350193,0.21907769268939192
5,7.0,207.0,14.0,3.0,0.03271028037383177,0.7,0.09090909090909091,0.9264069264069265,0.0625,-0.18444810796023572,0.1272492681350375
6,6.0,169.0,39.0,3.0,0.03428571428571429,0.6666666666666666,0.2073732718894009,0.8064516129032258,0.06521739130434782,-0.07359800721939873,0.1963005113973949
7,9.0,178.0,13.0,2.0,0.0481283422459893,0.8181818181818182,0.10891089108910891,0.9257425742574258,0.09090909090909091,-0.09845061693173164,0.2159793274048231
8,5.0,192.0,9.0,2.0,0.025380710659898477,0.7142857142857143,0.0673076923076923,0.9471153846153846,0.049019607843137254,-0.19414365156567384,0.16460533157815777
9,13.0,160.0,56.0,8.0,0.07514450867052024,0.6190476190476191,0.2911392405063291,0.729957805907173,0.13402061855670103,-0.07789140115204472,0.25171391074282407
10,76.0,1803.0,252.0,42.0,0.04044704630122405,0.6440677966101694,0.1509433962264151,0.8669797698578232,0.07611417125688531,-0.15457274309119498,0.15953004243799282
