tloc	tmcCabe	assertionDensity	assertionRoulette	mysteryGuest	eagerTest	sensitiveEquality	resourceOptimism	conditionalTestLogic	fireAndForget	loc	lcom2	lcom5	cbo	wmc	rfc	mpc	halsteadVocabulary	halsteadLength	halsteadVolume	classDataShouldBePrivate	complexClass	spaghettiCode	functionalDecomposition	godClass
6.867773925185241e-05	5.350892023672737e-06	1.7928045209632832e-07	2.1981766452678866e-05	-9.999463270764206e-07	6.876621407238723e-05	6.580413395403644e-07	-2.8178173675398246e-08	1.0843813016182397e-07	-4.983219153681535e-08	0.14046590707851955	0.21512685388652092	0.0006430127378080733	0.005049007887108272	0.017545365964594967	0.057376703115296766	0.052623151207237595	0.7361386003257161	0.057965784749343975	0.612224183427786	0.00011437039669172198	0.017547084748499104	0.0848958994140829	-4.651895785908595e-06	0.0009894053210932443
1.6256093484952834e-06	-2.3091080383396638e-05	3.6049491300539316e-06	3.3830811179263944e-05	-1.710263617656773e-05	0.0002171486425211031	4.2880882116399934e-07	-7.131709771107275e-07	-5.684507339550887e-06	-3.109663649035648e-07	0.045385891689391986	0.8890149174243894	-0.00037806836415299016	-0.005515083802130126	0.009539219062796079	-0.04502982162627634	-0.04743326034480572	0.10535089625026704	-0.04424850593321268	-0.43572474267565225	0.00028413920821755717	0.010613207297835343	-0.012932460441770407	1.6608181562849413e-06	-0.0007943639489556138
-0.0006878081021611823	-5.675378014624767e-05	1.7855592663652566e-06	-7.045445556171895e-06	-9.222170630884638e-05	1.3738582231655197e-05	3.2939900157963296e-07	-5.347540628959704e-06	-3.2554628056743345e-05	-1.4693635194959428e-06	-0.09561830621507186	-0.3869557009384682	-0.0006932769384219967	-0.00803509859977003	-0.025716002819130855	-0.06189365791587448	-0.05397846418880427	0.6569528334612658	-0.07275071068169496	-0.6243403646184083	-0.0008163543850841618	-0.022314352529961615	0.08013723857426946	2.388672630103993e-05	-0.007065877892338866
0.0002879281877851774	6.788057556046453e-05	8.306676940508092e-06	-2.0302729458681316e-06	-9.35351843602094e-05	-0.00023025505749743334	-3.4293570485355452e-06	-8.037117988573735e-06	-3.5299149782143166e-05	-8.960577597147485e-07	0.8694428526317406	-0.09352340635669941	0.0034060389699133824	0.05312510759592748	0.08095034769467327	0.29668306941747286	0.2753863359882195	-0.056372541238035784	-0.046104273269076554	-0.17093197985140474	-0.00032041802878845084	0.0839049767405001	0.1430202406868788	-8.742177874432521e-06	-0.007803002776543553
0.004146179116984226	0.0003449135169154108	1.2949083695741785e-05	0.0005026773555091887	0.0005891713561223152	0.0012182341300062463	8.700078171893427e-05	3.671856652351834e-05	0.0005981077448887253	1.1446188241923326e-05	0.4458695683331847	-0.06421892372631084	-0.0028883141619925486	-0.010874416123533445	-0.027212408391020675	-0.5479238023573058	-0.5266632048171953	0.029266986534330627	0.09887060450247981	0.037124829032175594	0.0037853556124437917	-0.08015751425904442	-0.4449243352129615	-0.0001862214954688307	0.046768597163865715
-0.0036307330424099633	-0.0006913087839410249	3.002969537076203e-05	-0.0006118424860511397	-0.00044225609580937256	-0.0016608644658829988	9.772907565169524e-06	-3.27559612954737e-05	-0.000348582388210024	-1.6691526340745246e-05	0.08461484501132195	0.01131612712614495	-0.005269503501931053	-0.1376625830821237	-0.167796236888052	-0.29580005036732115	-0.2530620088915492	-0.09621964817254347	-0.11082723392165861	0.050465324229555845	0.0075013188361673765	-0.06529914457745446	0.7860892107111291	0.0003308205215925711	0.3842896421161221
0.002878828060524432	0.0004250116127531313	-2.9676745371929616e-05	0.0003810945355065517	0.00019543858237641468	0.0006451325208508617	-2.8468200350916798e-05	-4.959930149996202e-06	0.00018756326542835876	2.4675685980026035e-05	-0.05388188701375838	-0.005567182772821983	0.00026030418144491546	0.06815091331493076	0.08923098691105937	0.14984635246649033	0.1246624282167161	0.0420838748796059	0.041992143709518946	-0.03021015039407836	-0.00571301061877226	0.0676440997001892	-0.2982200502763765	-9.177657048630624e-05	0.9211213784389228
0.009109788069509591	-0.00015137509457549642	-0.00011353691885641204	-0.0008463895942134352	0.0017985881468909636	-0.004565133489384247	-0.0002704018044833129	6.609545797958581e-05	0.0007292371597094721	4.952401915121702e-05	0.05810822747330656	0.021983031223045492	-0.01862453258328845	-0.14660966350274487	-0.4967458660871322	0.126837670354907	0.17369923554155958	0.00960012660933179	0.01955424774071916	-0.006247822102251692	-0.0012699021465978888	-0.8157459881698077	-0.11710447249787827	-0.00044082466151207573	0.03878741512890959
0.004894516862242026	0.0052851375739811695	-0.000512203492593777	-0.0015997832049100729	0.004539817046103825	-0.014633387183655618	-0.0007251676007482411	0.00023286815188148412	0.0023304064711561425	1.0629920341377925e-05	-0.01720196637754951	0.010959446867486093	-0.017482210901738165	0.9042369075880675	-0.19447857290168524	-0.15786032708706563	0.09365084607153852	-0.010228139704998052	0.29793496449496315	-0.027011094870152075	0.0068517861148952326	-0.06048390409781342	0.1284761155885426	0.0001722695921603167	-0.003921051577029871
0.0014437947381112258	-0.000880140823891977	-6.060791036023293e-05	-0.0012209370418869935	0.0008323593866110396	0.004795891077340501	0.00012120204581744727	-5.2661836206931345e-05	0.0010073148434394327	3.197308298070728e-05	-0.0058853662227075386	-0.0018034240560863665	-0.007624990646329975	-0.24294342747734746	0.15849681076942518	0.18764689672273313	-0.15333992676833214	-0.007578836854094797	0.9066227375061252	-0.09994362196365372	-0.038859374962142514	-0.05477952086761845	0.14310175882449067	-0.002228682605938586	-0.0016639484239727978
